장례식장명,항목,호실/상세,가격(만원)
"새로운장례식장","안치료","1일기준",6
"새로운장례식장","염습료","수세",10
"새롬병원장례식장","장례식장 임대료","1회 기준",10
"새롬병원장례식장","장례식장 임대료","1회 기준",20
"새롬병원장례식장","안치료","1일 기준",6
"새마을장례식장","장례식장 임대료","1일",70
"새마을장례식장","안치료","1일",7
"새마을장례식장","염습료","염습비(입관비)",40
"새만금장례식장","장례식장 임대료","특실",4.5
"새만금장례식장","장례식장 임대료","특실",3.5
"새만금장례식장","염습료","염습비",20
"새만금장례식장","염습료","초염비",10
"새미소요양병원장례식장","장례식장 임대료","장례식장 안치사용료 / 24시간",6
"새미소요양병원장례식장","장례식장 임대료","장례식장 빈소사용료 / 시간",2
"새소망병원장례식장","안치료","1일",12
"새소망병원장례식장","염습료","2인1조",20
"새웅상요양병원장례식장","장례식장 임대료","25평",35
"새웅상요양병원장례식장","장례식장 임대료","60평",45
"새웅상요양병원장례식장","장례식장 임대료","60평",45
"새웅상요양병원장례식장","안치료","시간당4166원",10
"새웅상요양병원장례식장","염습료","100000원~500000원/1건",10
"새웅상요양병원장례식장","염습료","1회",20
"새웅상요양병원장례식장","염습료","1구당 (장애인 국가유공자 50% D",20
"새진교장례식장","장례식장 임대료","1실/24시간 기준",18
"새진교장례식장","장례식장 임대료","1실/24시간 기준",20
"새진교장례식장","장례식장 임대료","1실/24시간 기준(45평)",31.5
"새진교장례식장","장례식장 임대료","1실/24시간 기준(100평)",70
"새진교장례식장","장례식장 임대료","1회",20
"새진교장례식장","안치료","1실/24시간 기준",5
"새진교장례식장","염습료","2인 기준",25
"새천년장례식장","장례식장 임대료","98평형   24시간",151.2
"새천년장례식장","장례식장 임대료","36평형  24시간",67.2
"새천년장례식장","장례식장 임대료","52평형   24시간",98.4
"새천년장례식장","장례식장 임대료","1회",30
"새천년장례식장","안치료","1일 단위 (시간당 7000)",16.8
"새통영병원장례식장","장례식장 임대료","시간당",1.5
"새통영병원장례식장","장례식장 임대료","시간당",2.5
"새통영병원장례식장","장례식장 임대료","시간당",1.8
"새통영병원장례식장","장례식장 임대료","시간당",2
"새통영병원장례식장","장례식장 임대료","1회",30
"샘안양병원장례식장","장례식장 임대료","시간 사용료24000",60
"샘안양병원장례식장","장례식장 임대료","시간 사용료30000",70
"샘안양병원장례식장","장례식장 임대료","시간 사용료38000",90
"샘안양병원장례식장","장례식장 임대료","시간 사용료32000",80
"샘안양병원장례식장","장례식장 임대료","빈소사용료 및 안치료",0
"샘안양병원장례식장","장례식장 임대료","빈소사용료 및 안치료",0
"샘안양병원장례식장","장례식장 임대료","빈소사용료 및 안치료",0
"샘안양병원장례식장","장례식장 임대료","빈소 분리 수거료",3
"샘안양병원장례식장","장례식장 임대료","야간 10만원 추가",40
"샘안양병원장례식장","장례식장 임대료","1회",30
"샘안양병원장례식장","장례식장 임대료","수시비용100000",10
"샘안양병원장례식장","안치료","시간 사용료6000",15
"서귀포의료원장례식장","장례식장 임대료","입관실사용료(1회)",10
"서귀포의료원장례식장","안치료","시간당(원외빈소사용)",0.7
"서귀포의료원장례식장","안치료","시간당(원내빈소사용)",0.3
"서귀포의료원장례식장","안치료","원외빈소사용(1일당)",8
"서귀포의료원장례식장","안치료","원내빈소사용(1일당)",4
"서논산장례식장","장례식장 임대료","1실1일 24시간기준",15
"서논산장례식장","안치료","1실1일 24시간기준",15
"서논산장례식장","염습료","1구당",50
"서논산장례식장","염습료","1구당",20
"서부산시민장례식장","장례식장 임대료","1회",25
"서부산시민장례식장","안치료","1일 기준",20
"서산의료원상례원","장례식장 임대료","55평 (시간당)",2.5
"서산의료원상례원","장례식장 임대료","67평 (시간당)",3
"서산의료원상례원","장례식장 임대료","55평 (시간당)",2.5
"서산의료원상례원","장례식장 임대료","50평 (시간당)",2
"서산의료원상례원","장례식장 임대료","67평 (시간당)",3
"서산의료원상례원","안치료","1일(최대3일)",0.4
"서산의료원상례원","안치료","시간당",0.3
"서산의료원상례원","염습료","1회(가족 또는 상조회사 입관시)",20
"서산의료원상례원","염습료","1회",30
"서산의료원상례원","염습료","1회",40
"서산의료원상례원","염습료","1회",10
"서산장례식장","안치료","시간당",0.5
"서산장례식장","염습료","0",30
"서산장례식장","염습료","0",20
"서석장례식장","장례식장 임대료","염습실",6
"서석장례식장","장례식장 임대료","염습실",3
"서세종농협장례식장","염습료","1회/2인1조",30
"서안동농협장례식장","장례식장 임대료","96평",96
"서안동농협장례식장","장례식장 임대료","80평",80
"서안동농협장례식장","장례식장 임대료","68평",68
"서안동농협장례식장","장례식장 임대료","46평",46
"서안동농협장례식장","장례식장 임대료","1회",25
"서요양병원장례식장","장례식장 임대료","약 50평(30000/1시간)",72
"서요양병원장례식장","장례식장 임대료","약 43평(25000/1시간)",60
"서요양병원장례식장","장례식장 임대료","약 30평(20000/1시간)",48
"서요양병원장례식장","안치료","3000원/1시간",7.2
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",45
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",50
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",71
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",355
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",151
"서울대학교병원장례식장","장례식장 임대료","1실/24시간 기준",96
"서울백병원장례식장","장례식장 임대료","75평형(1일/24시간 기준)",108
"서울백병원장례식장","장례식장 임대료","65평형(1일/24시간 기준)",96
"서울백병원장례식장","안치료","1일/24시간 기준",8.4
"서울백병원장례식장","염습료","2인1조",40
"서울백병원장례식장","염습료","2인1조",30
"서울백병원장례식장","염습료","사고사 현장 작업비(2인1조)",30
"서울백병원장례식장","염습료","2인1조",20
"서울산국화원장례식장","장례식장 임대료","1회",20
"서울산국화원장례식장","안치료","1일/24시간기준",12
"서울성모장례식장","장례식장 임대료","106",60
"서울성모장례식장","장례식장 임대료","168",118.8
"서울성모장례식장","장례식장 임대료","231",178.8
"서울성모장례식장","장례식장 임대료","396",337.2
"서울성모장례식장","장례식장 임대료","158",108
"서울성모장례식장","장례식장 임대료","297",258
"서울성모장례식장","장례식장 임대료","528",459.6
"서울성모장례식장","장례식장 임대료","132",85.2
"서울성모장례식장","장례식장 임대료","142",93.6
"서울성모장례식장","장례식장 임대료","264",211.2
"서울성모장례식장","장례식장 임대료","287",231.6
"서울성모장례식장","장례식장 임대료","208",156
"서울성모장례식장","장례식장 임대료","495",420
"서울성모장례식장","안치료","안치료",9.6
"서울성모장례식장","염습료","1회",40
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",198
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",148
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",208
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",69
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",248
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",280
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",213
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",443
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",75
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",405
"서울아산병원 장례식장","장례식장 임대료","1실/24시간 기준",311
"서울아산병원 장례식장","안치료","1일/24시간 기준",13.2
"서울아산병원 장례식장","안치료","1일/24시간 기준",9.6
"서울아산병원 장례식장","안치료","1일/24시간 기준",8.9
"서울아산병원 장례식장","염습료","주간(자체)",40
"서울아산병원 장례식장","염습료","주간",40
"서울아산병원 장례식장","염습료","야간",50
"서울적십자병원장례식장","안치료","시간당",0.4
"서울좋은병원장례식장","안치료","1일(24시간기준)",9
"서울좋은병원장례식장","염습료","2인1조",30
"서울좋은병원장례식장","염습료","2인1조",15
"서울특별시 동부병원 장례식장","장례식장 임대료","26평형(87.14㎡)",35.6
"서울특별시 동부병원 장례식장","장례식장 임대료","24평형(80.78㎡)",32.9
"서울특별시 동부병원 장례식장","장례식장 임대료","30평형(99.51㎡)",41.1
"서울특별시 동부병원 장례식장","장례식장 임대료","12평형(40.44㎡)",12
"서울특별시 동부병원 장례식장","안치료","1일 기준",5.9
"서울특별시 동부병원 장례식장","염습료","2인 1조",30
"서울특별시 동부병원 장례식장","염습료","상조 포함",20
"서울특별시 동부병원 장례식장","염습료","2인 1조 19:00~07:00",35
"서울특별시 동부병원 장례식장","염습료","의료급여대상자",20
"서울특별시 동부병원 장례식장","염습료","수시 및 위생정리",5.3
"서울특별시 서울의료원 장례식장","안치료","1시간당",0.3
"서울특별시 서울의료원 장례식장","염습료","상조 자체(유족) / 1회",25
"서울특별시 서울의료원 장례식장","염습료","주야간 / 1회",35
"서울특별시보라매병원장례식장","장례식장 임대료","1호실(163㎡)",73.8
"서울특별시보라매병원장례식장","장례식장 임대료","5~8호실(162㎡)",69.1
"서울특별시보라매병원장례식장","장례식장 임대료","2~4호실(189㎡)",80.8
"서울특별시보라매병원장례식장","안치료","서울특별시 조례(수가적용)",9.5
"서울특별시보라매병원장례식장","염습료","수급자",20
"서울특별시보라매병원장례식장","염습료","야간 : 2인 1조",35
"서울특별시보라매병원장례식장","염습료","수급자(자체)",10
"서울특별시보라매병원장례식장","염습료","자체",20
"서울특별시보라매병원장례식장","염습료","주간 : 2인 1조",30
"서울특별시보라매병원장례식장","염습료","수시 및 위생정리",5.3
"서울현대요양병원장례식장","장례식장 임대료","80평형(264㎡/1일시간당/4000",96
"서울현대요양병원장례식장","장례식장 임대료","60평형(198㎡/1일시간당/3500",84
"서울현대요양병원장례식장","안치료","성인(14세이상)(1일시간당/4000",9.6
"서정리장례식장","장례식장 임대료","1회",30
"서정리장례식장","안치료","1일",9
"서정리장례식장","염습료","대렴 및 입관/2인1조",30
"서정리장례식장","염습료","18시 이후 입관시 적용",40
"서정리장례식장","염습료","수시 및 소렴/2인1조",25
"서천장례식장","장례식장 임대료","시간당",1.9
"서천장례식장","장례식장 임대료","시간당",2.3
"서천장례식장","장례식장 임대료","시간당",2.5
"서천장례식장","장례식장 임대료","시간당",3
"서천장례식장","장례식장 임대료","1회",10
"서천장례식장","장례식장 임대료","1회",3
"서천장례식장","장례식장 임대료","1회",10
"서천장례식장","장례식장 임대료","1회",30
"서천장례식장","안치료","시간당",0.6
"서천장례식장","안치료","1회",15
"서천한국장례식장","염습료","염습비",20
"서해안장례식장","장례식장 임대료","1일",20
"서해안장례식장","장례식장 임대료","1회",25
"서해안장례식장","안치료","1일(냉장)",7
"서해안장례식장","안치료","1일(냉동)",10
"서해안장례식장","염습료","고인 목욕수의 등등",30
"서해장례문화원","장례식장 임대료","60평1시간",3
"서해장례문화원","장례식장 임대료","100평1시간",3.5
"서해장례문화원","장례식장 임대료","100평1시간",3.5
"서해장례문화원","장례식장 임대료","사용시",40
"서해장례문화원","안치료","안치후발인까지",27
"서해장례문화원","염습료","2인1조 기본",30
"서해장례문화원","염습료","2인1조 기본",20
"서해장례문화원","염습료","2인1조 기본",50
"석곡농협장례식장","안치료","1회",50
"선산 국화원 전문 장례식장","장례식장 임대료","198㎡",66
"선산 국화원 전문 장례식장","장례식장 임대료","495㎡",110.4
"선산 국화원 전문 장례식장","장례식장 임대료","330㎡",81.6
"선산 국화원 전문 장례식장","장례식장 임대료","148㎡",50.4
"선산 국화원 전문 장례식장","장례식장 임대료","1회",25
"선산 국화원 전문 장례식장","안치료","1일",9.6
"선산 국화원 전문 장례식장","염습료","1회",25
"선산 국화원 전문 장례식장","염습료","1회",45
"선산 국화원 전문 장례식장","염습료","1회",10
"선산전문장례식장","장례식장 임대료","특실",100
"선산전문장례식장","장례식장 임대료","일반실",50
"선산전문장례식장","장례식장 임대료","일반실",40
"선산전문장례식장","안치료","안치료",8
"선산전문장례식장","염습료","변사",40
"선산전문장례식장","염습료","고인염습",30
"선산전문장례식장","염습료","수시",10
"성가롤로병원장례식장","장례식장 임대료","145평형(시간)",4.2
"성가롤로병원장례식장","장례식장 임대료","80평형(시간)",2.5
"성가롤로병원장례식장","장례식장 임대료","50평형(시간)",1.5
"성가롤로병원장례식장","장례식장 임대료","130평형(시간)",3.8
"성가롤로병원장례식장","안치료","1일당",7
"성가롤로병원장례식장","염습료","1회-10세 미만",10
"성가롤로병원장례식장","염습료","1회",30
"성가롤로병원장례식장","염습료","소렴비",5
"성남시의료원장례식장","장례식장 임대료","157㎡",48
"성남시의료원장례식장","장례식장 임대료","170.37㎡",48
"성남시의료원장례식장","장례식장 임대료","329.59㎡",96
"성남시의료원장례식장","장례식장 임대료","115㎡",36
"성남시의료원장례식장","장례식장 임대료","105㎡",36
"성남시의료원장례식장","장례식장 임대료","157㎡",48
"성남시의료원장례식장","장례식장 임대료","109㎡",36
"성남시의료원장례식장","장례식장 임대료","109㎡",36
"성남시의료원장례식장","장례식장 임대료","115㎡",1.5
"성남시의료원장례식장","장례식장 임대료","115㎡",1.5
"성남시의료원장례식장","장례식장 임대료","157㎡",2
"성남시의료원장례식장","장례식장 임대료","157㎡",2
"성남시의료원장례식장","장례식장 임대료","109㎡",1.5
"성남시의료원장례식장","장례식장 임대료","115㎡",36
"성남시의료원장례식장","장례식장 임대료","109㎡",1.5
"성남시의료원장례식장","장례식장 임대료","170.37㎡",2
"성남시의료원장례식장","장례식장 임대료","105㎡",1.5
"성남시의료원장례식장","장례식장 임대료","329.59㎡",4
"성남시의료원장례식장","장례식장 임대료","800㎡",10
"성남시의료원장례식장","장례식장 임대료","800㎡",40
"성남시의료원장례식장","장례식장 임대료","800㎡",30
"성남시의료원장례식장","장례식장 임대료","800㎡",50
"성남시의료원장례식장","안치료","900㎡",0.3
"성남시의료원장례식장","안치료","900㎡",6
"성남시장례식장","장례식장 임대료","빈소 접객실 (성남시민 시간당)",0.3
"성남시장례식장","장례식장 임대료","빈소 접객실 (성남시민 시간당)",1.1
"성남시장례식장","장례식장 임대료","빈소 접객실 (성남시민 시간당)",0.9
"성남시장례식장","장례식장 임대료","빈소 접객실 (성남시민 시간당)",2
"성남시장례식장","염습료","소렴대렴입관입관실참관실 사용료",40
"성남시장례식장","염습료","18~08시 입관 시 추가적용",10
"성남중앙병원장례식장","장례식장 임대료","30평형(1실/24시간 기준)50%할",40
"성남중앙병원장례식장","장례식장 임대료","40평형(1실/24시간 기준)50%할",55
"성남중앙병원장례식장","장례식장 임대료","50평형(1실/24시간 기준)50%할",75
"성남중앙병원장례식장","장례식장 임대료","28평형(1실/24시간 기준)50%할",38
"성남중앙병원장례식장","장례식장 임대료","90평형(1실/24시간 기준)50%할",95
"성남중앙병원장례식장","안치료","1일/24시간 기준",9.5
"성누가병원장례식장","염습료","염습비",20
"성모병원장례예식장","염습료","1회",30
"성모병원장례예식장","염습료","입관1회",34
"성모병원장례예식장","염습료","초염및수시비",15
"성모장례식장","장례식장 임대료","50평형(1실/24시간 기준",50
"성모장례식장","장례식장 임대료","40평형(1실/24시간 기준",40
"성모장례식장","장례식장 임대료","40평형(1실/24시간 기준",40
"성모장례식장","안치료","1일/24시간 기준",7.5
"성민병원 장례식장","장례식장 임대료","1일50000 *2    100000",10
"성민병원 장례식장","장례식장 임대료","50평 1실/1일 (24시간기준)",68
"성민병원 장례식장","장례식장 임대료","60평 1실/1일 (24시간기준)",78
"성민병원 장례식장","안치료","1실/1일  24시간기준)",9
"성민병원 장례식장","안치료","2인 1조",15
"성민병원 장례식장","염습료","2인1조",15
"성빈센트병원 장례식장","장례식장 임대료","36평",56.4
"성빈센트병원 장례식장","장례식장 임대료","70평",130.8
"성빈센트병원 장례식장","장례식장 임대료","37평",63.6
"성빈센트병원 장례식장","장례식장 임대료","56평",99.6
"성빈센트병원 장례식장","장례식장 임대료","60평",110.4
"성빈센트병원 장례식장","장례식장 임대료","자가입관",40
"성빈센트병원 장례식장","안치료","1일",9.6
"성빈센트병원 장례식장","염습료","소인",20
"성빈센트병원 장례식장","염습료","대인",40
"성산현대요양병원장례식장","장례식장 임대료","1일 사용료41000/시간",50
"성산현대요양병원장례식장","장례식장 임대료","1일 사용료33000/시간",40
"성산현대요양병원장례식장","장례식장 임대료","1회 사용료",20
"성산현대요양병원장례식장","안치료","1일 사용료",10
"성산현대요양병원장례식장","염습료","2명",30
"성서병원장례식장","장례식장 임대료","24시간 기준 시간당31670원",86
"성서병원장례식장","장례식장 임대료","24시간 기준 시간당24170원",68
"성서병원장례식장","장례식장 임대료","24시간 기준 시간당15000원",36
"성서병원장례식장","안치료","시간당 4000",9.6
"성서요양병원장례식장","염습료","사고사코로나사망자변사자",40
"성서요양병원장례식장","염습료","수시료",10
"성서요양병원장례식장","염습료","사고사코로나사망자변사자",30
"성심요양병원장례식장","장례식장 임대료","상조및상가염습",30
"성심요양병원장례식장","안치료","시간당(4.000원)",9.6
"성심요양병원장례식장","염습료","장례지도사 2인",30
"성심요양병원장례식장","염습료","수시초혼",10
"성심장례식장","장례식장 임대료","8호실 231㎡70평/시간당 2700",64.8
"성심장례식장","장례식장 임대료","VIP2호실 396㎡120평/시간당 ",108
"성심장례식장","장례식장 임대료","5호실 231㎡70평/시간당 2700",64.8
"성심장례식장","장례식장 임대료","VIP1호실 396㎡120평/시간당 ",108
"성심장례식장","장례식장 임대료","7호실 231㎡70평/시간당 2700",64.8
"성심장례식장","장례식장 임대료","6호실 231㎡70평/시간당 2700",64.8
"성심장례식장","장례식장 임대료","VIP3호실 396㎡120평/시간당 ",108
"성심장례식장","장례식장 임대료","염습실/입관실",20
"성심장례식장","안치료","시간당 2000원",4.8
"성심장례식장","안치료","안치실 사용료",10
"성심장례식장","염습료","2인",30
"성심장례식장","염습료","기본",25
"성심장례식장","염습료","소아 및 자체입관시",15
"성심장례식장","염습료","사고사 및 18:00이후 입관시",35
"성애장례식장","장례식장 임대료","30평형 / 1일 / 접객실분향실",60
"성애장례식장","장례식장 임대료","55평형 / 1일 / 접객실분향실",90
"성애장례식장","장례식장 임대료","50평형 / 1일 / 접객실분향실",80
"성애장례식장","장례식장 임대료","50평형 / 1일 / 접객실분향실",70
"성애장례식장","장례식장 임대료","가족염습(상조회 성당자체 입관시)",40
"성애장례식장","안치료","1구당 / 1일",14.4
"성애장례식장","염습료","입관실사용료",30
"성애장례식장","염습료","수시용역비",20
"성제장례식장","안치료","1일",20
"성제장례식장","안치료","1시간",1.5
"성제장례식장","염습료","2인",25
"성주국화원전문장례식장","장례식장 임대료","1hr/30000원",72
"성주국화원전문장례식장","안치료","1hr/3000원",7.2
"성주효병원장례식장","염습료","1구당",30
"성혜원장례식장","장례식장 임대료","1회",30
"성혜원장례식장","염습료","1회",30
"성혜원장례식장","염습료","1회",13
"세광병원장례식장","장례식장 임대료","특실",60
"세광병원장례식장","장례식장 임대료","1회 기준",10
"세광병원장례식장","장례식장 임대료","1회 기준",10
"세광병원장례식장","장례식장 임대료","1회 기준",10
"세광병원장례식장","장례식장 임대료","1일 기준",25
"세광병원장례식장","장례식장 임대료","1회 기준",10
"세명병원장례식장","장례식장 임대료","약6평",30
"세명병원장례식장","안치료","안치료/1일 기준",10
"세명병원장례식장","염습료","1인당 / 2인필요",15
"세민병원장례식장","장례식장 임대료","1일",55.2
"세민병원장례식장","장례식장 임대료","1일",79.2
"세민병원장례식장","장례식장 임대료","1회",20
"세민병원장례식장","장례식장 임대료","1회기준",20
"세민병원장례식장","안치료","1일/24시간 기준",10
"세민병원장례식장","안치료","1일",9.6
"세민병원장례식장","염습료","염습위생용품",12
"세민병원장례식장","염습료","적출물처리",10
"세민병원장례식장","염습료","1회",20
"세민병원장례식장","염습료","1매",10
"세민병원장례식장","염습료","1회",10
"세민에스백합원장례식장","장례식장 임대료","1일/24시간",90
"세민에스백합원장례식장","장례식장 임대료","1일/24시간",80
"세민에스백합원장례식장","장례식장 임대료","1일/24시간",70
"세민에스백합원장례식장","장례식장 임대료","1일/24시간",35
"세민에스백합원장례식장","안치료","1일/24시간",10
"세민에스백합원장례식장","염습료","1회(2인)",20
"세안종합병원장례식장","장례식장 임대료","특실",40
"세안종합병원장례식장","장례식장 임대료","1실",25
"세안종합병원장례식장","안치료","1실24시간",7
"세안종합병원장례식장","염습료","식",30
"세안종합병원장례식장","염습료","식",15
"세웅병원장례식장","장례식장 임대료","입관 . 염습실",20
"세웅병원장례식장","장례식장 임대료","5호실 (1일 24시간)",30
"세웅병원장례식장","장례식장 임대료","1호실 (1일 24시간)",40
"세웅병원장례식장","장례식장 임대료","3호실 (1일 24시간)",35
"세웅병원장례식장","장례식장 임대료","수급자 - 50% 감면",15
"세웅병원장례식장","안치료","안치료 (1일24시간기준)",15
"세웅병원장례식장","염습료","1구 1회",30
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-90평/1",120
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-50평/1",52.8
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-40평/1",48
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-50평/1",52.8
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-40평/1",48
"세인트병원장례식장","장례식장 임대료","분향소화장실(샤워실)접객실-67평/1",72
"세인트병원장례식장","장례식장 임대료","1회",30
"세인트병원장례식장","안치료","1일",7.9
"세일장례식장(구.복사골)","장례식장 임대료","1시간 기준 1호실",2.5
"세일장례식장(구.복사골)","장례식장 임대료","1시간기준 5호실60평",3
"세일장례식장(구.복사골)","장례식장 임대료","1시간기준 3호실35평",2
"세일장례식장(구.복사골)","장례식장 임대료","특실",4
"세일장례식장(구.복사골)","장례식장 임대료","VIP실",4.5
"세일장례식장(구.복사골)","안치료","1시간기준",0.4
"세일장례식장(구.복사골)","안치료","상조 입관시",30
"세종병원장례식장","장례식장 임대료","1시간기준",3
"세종병원장례식장","장례식장 임대료","1시간기준",1.3
"세종병원장례식장","장례식장 임대료","1시간기준",2.1
"세종병원장례식장","장례식장 임대료","1시간기준",4
"세종병원장례식장","안치료","1시간기준",0.5
"세종병원장례식장","염습료","2인 1조 입관비용",40
"세종병원장례식장","염습료","초렴",30
"세종여주병원장례식장","장례식장 임대료","특실",3.5
"세종여주병원장례식장","장례식장 임대료","일반실",2.5
"세종여주병원장례식장","장례식장 임대료","인반실(60평) 시간당",2
"세종여주병원장례식장","안치료","안치료(시간당)",0.5
"세종여주병원장례식장","염습료","2인1조",40
"세종여주병원장례식장","염습료","2인1조",40
"세종여주병원장례식장","염습료","2인1조",15
"세종충남대학교병원 쉴낙원 장례식장","장례식장 임대료","120평",108
"세종충남대학교병원 쉴낙원 장례식장","장례식장 임대료","75평",84
"세종충남대학교병원 쉴낙원 장례식장","장례식장 임대료","74평",84
"세종충남대학교병원 쉴낙원 장례식장","장례식장 임대료","입관실",20
"세종충남대학교병원 쉴낙원 장례식장","안치료","안치실",8.4
"세종충남대학교병원 쉴낙원 장례식장","염습료","1회",30
"세종충남대학교병원 쉴낙원 장례식장","염습료","1회",15
"세화병원장례식장","장례식장 임대료","102호(198㎡).",2.5
"세화병원장례식장","장례식장 임대료","예비용빈소(66㎡).",0.8
"세화병원장례식장","장례식장 임대료","101호(132㎡)",1.7
"세화병원장례식장","장례식장 임대료","염습입관실",40
"세화병원장례식장","염습료","2인1조",40
"세화병원장례식장","염습료","2인1조",20
"센텀장례식장","장례식장 임대료","405m2",120
"센텀장례식장","장례식장 임대료","211m2",50
"센텀장례식장","장례식장 임대료","280m2",90
"센텀장례식장","장례식장 임대료","238m2",60
"센텀장례식장","장례식장 임대료","251m2",70
"센텀장례식장","장례식장 임대료","264m2",70
"센텀장례식장","장례식장 임대료","235m2",60
"센텀장례식장","장례식장 임대료","1회 기준",20
"센텀장례식장","장례식장 임대료","1회 기준",20
"센텀장례식장","안치료","132.58m2",8
"센트럴병원장례식장","안치료","1시간",0.5
"센트럴병원장례식장","염습료","염습비",30
"센트럴병원장례식장","염습료","1회",20
"소망장례식장","장례식장 임대료","35평/1실/1일기준",26.5
"소망장례식장","장례식장 임대료","45평/1실/1일기준",46.5
"소망장례식장","장례식장 임대료","115평/3실/1일기준",66.5
"소망장례식장","장례식장 임대료","75평/1실/1일기준",56.5
"소망장례식장","안치료","1일기준",12
"소망장례식장","염습료","1구",30
"속초동해장례식장","장례식장 임대료","300 제곱미터",1.5
"속초동해장례식장","장례식장 임대료","30제곱미터",30
"속초동해장례식장","장례식장 임대료","30제곱미터",20
"속초동해장례식장","안치료","30제곱미터",0.3
"속초보광병원장례식장","장례식장 임대료","시간당",1
"속초보광병원장례식장","장례식장 임대료","시간당",0.5
"속초보광병원장례식장","장례식장 임대료","시간당",1
"속초보광병원장례식장","장례식장 임대료","시간당",2
"속초보광병원장례식장","장례식장 임대료","시간당",1.5
"속초보광병원장례식장","장례식장 임대료","시간당",2.5
"속초보광병원장례식장","안치료","시간당",0.3
"속초우리장례식장(휴업)","장례식장 임대료","24시간",60
"속초우리장례식장(휴업)","장례식장 임대료","24시간",48
"속초우리장례식장(휴업)","장례식장 임대료","상조회 등",20
"속초우리장례식장(휴업)","장례식장 임대료","2인",40
"속초우리장례식장(휴업)","안치료","24시간",7.2
"속초우리장례식장(휴업)","염습료","2인",20
"송도하나장례문화원","장례식장 임대료","70평",70
"송도하나장례문화원","장례식장 임대료","75평",75
"송도하나장례문화원","장례식장 임대료","80평",80
"송도하나장례문화원","장례식장 임대료","90평",110
"송도하나장례문화원","장례식장 임대료","1회",30
"송도하나장례문화원","안치료","1일",12
"송산장례문화원","장례식장 임대료","1일",110
"송산장례문화원","장례식장 임대료","1일",80
"송산장례문화원","장례식장 임대료","1일",100
"송산장례문화원","장례식장 임대료","1일",80
"송산장례문화원","장례식장 임대료","1회",40
"송산장례문화원","안치료","1일",12
"송산장례문화원","염습료","1회/2인",40
"송산장례문화원","염습료","1회/2인",50
"송산장례문화원","염습료","1회",20
"송산장례식장","안치료","시간 기준",0.4
"송산장례식장","염습료","상조회 및 가족 염습",30
"송산장례식장","염습료","대렴 2인일조",30
"송산장례식장","염습료","소렴",10
"송원장례문화원","장례식장 임대료","빈소+접객실",84
"송원장례문화원","장례식장 임대료","염습실/입관실",25
"송원장례문화원","안치료","안치실 이용료",0.5
"송정사랑병원장례식장","안치료","안치실(1일)",5
"송정사랑병원장례식장","염습료","염습",30
"송정장례식장","장례식장 임대료","이용시",30
"송정장례식장","안치료","1일(2~3일장 / 2일 적용)",10
"송정장례식장","염습료","1회",30
"송정장례식장","염습료","1회",35
"송탄장례식장","염습료","입관실대여",25
"송탄장례식장","염습료","염습",20
"송탄장례식장","염습료","수시",10
"송탄중앙병원장례식장","장례식장 임대료","330.57. m2",80
"송탄중앙병원장례식장","장례식장 임대료","165.28 .m2",50
"송탄중앙병원장례식장","장례식장 임대료","198.34. m2",60
"송탄중앙병원장례식장","장례식장 임대료","396.69. m2",96
"송탄중앙병원장례식장","안치료","199.17. m2 / 일",12
"송탄중앙병원장례식장","염습료","인건비/대여료",40
"송탄중앙병원장례식장","염습료","안치시바른자세",15
"송학주천장례식장","염습료","1회",20
"송학주천장례식장","염습료","1회",10
"송현장례식장","안치료","시간당 4000원",9.6
"송현장례식장","염습료","1회 사용료",30
"송현장례식장","염습료","1회",10
"수성메트로병원장례식장","안치료","1일(4000/1시간)",9.6
"수성연도실","장례식장 임대료","1일",43.2
"수성연도실","장례식장 임대료","1일",20
"수성연도실","안치료","1일",7.2
"수성연도실","염습료","1회",24
"수성연도실","염습료","1회",10
"수성요양병원장례식장","장례식장 임대료","1회 이용",30
"수성요양병원장례식장","안치료","사체안치료 1일",9.6
"수성요양병원장례식장","염습료",".",30
"수원시연화장장례식장","장례식장 임대료","관내/1일기준",15
"수원시연화장장례식장","장례식장 임대료","관외/1일기준",25
"수원시연화장장례식장","안치료","관외/1일기준",6
"수원시연화장장례식장","안치료","관내/1일기준",4.5
